X,Y,#
3656,2740,133
x,y
[3247 2734]
[3246 2735]
[3245 2735]
[3244 2736]
[3244 2739]
[3256 2739]
[3255 2738]
[3255 2737]
[3253 2735]
[3252 2735]
[3251 2734]
[ 993 1948]
[ 993 1949]
[ 991 1951]
[ 992 1952]
[ 992 1953]
[ 991 1954]
[ 992 1955]
[1000 1955]
[1001 1954]
[1002 1954]
[1003 1953]
[1003 1950]
[1001 1948]
[1000 1948]
[ 999 1947]
[1158 1946]
[1157 1947]
[1156 1947]
[1155 1948]
[1155 1949]
[1153 1951]
[1153 1952]
[1152 1953]
[1152 1954]
[1154 1956]
[1154 1957]
[1156 1959]
[1157 1959]
[1158 1960]
[1159 1960]
[1160 1959]
[1163 1959]
[1163 1958]
[1166 1955]
[1166 1951]
[1165 1950]
[1165 1949]
[1164 1948]
[1164 1947]
[1163 1946]
[1015 1942]
[1014 1943]
[1013 1943]
[1012 1944]
[1011 1943]
[1009 1943]
[1008 1944]
[1008 1949]
[1006 1951]
[1007 1951]
[1008 1952]
[1013 1952]
[1014 1951]
[1016 1951]
[1017 1950]
[1017 1949]
[1018 1948]
[1018 1946]
[1017 1946]
[1016 1945]
[1016 1944]
[1015 1943]
[1626 1917]
[1625 1918]
[1623 1918]
[1618 1923]
[1618 1925]
[1617 1926]
[1616 1926]
[1616 1928]
[1617 1929]
[1617 1931]
[1618 1932]
[1619 1932]
[1620 1933]
[1621 1933]
[1622 1934]
[1623 1934]
[1624 1933]
[1627 1933]
[1629 1931]
[1630 1931]
[1630 1930]
[1631 1929]
[1631 1928]
[1632 1927]
[1632 1920]
[1631 1920]
[1629 1918]
[1627 1918]
[1301 1913]
[1300 1914]
[1299 1914]
[1299 1916]
[1301 1918]
[1305 1918]
[1306 1917]
[1306 1916]
[1305 1915]
[1305 1914]
[1304 1913]
[ 544 1907]
[ 543 1908]
[ 541 1908]
[ 541 1909]
[ 540 1910]
[ 538 1910]
[ 538 1912]
[ 539 1913]
[ 539 1915]
[ 540 1916]
[ 540 1917]
[ 541 1916]
[ 543 1918]
[ 543 1919]
[ 543 1918]
[ 544 1917]
[ 548 1917]
[ 550 1915]
[ 551 1915]
[ 551 1913]
[ 553 1911]
[ 553 1910]
[ 553 1911]
[ 552 1912]
[ 551 1912]
[ 550 1911]
[ 550 1909]
[ 549 1908]
[ 547 1908]
[ 546 1907]
[3128 1898]
[3127 1899]
[3126 1899]
[3126 1907]
[3123 1910]
[3122 1910]
[3122 1911]
[3120 1913]
[3120 1919]
[3123 1922]
[3124 1922]
[3125 1923]
[3126 1923]
[3127 1924]
[3131 1924]
[3132 1923]
[3133 1923]
[3134 1922]
[3134 1921]
[3136 1919]
[3136 1912]
[3133 1909]
[3133 1906]
[3132 1905]
[3132 1901]
[3130 1899]
[3129 1899]
[1050 1869]
[1049 1870]
[1048 1870]
[1047 1871]
[1044 1871]
[1041 1874]
[1041 1876]
[1038 1879]
[1038 1886]
[1041 1889]
[1045 1889]
[1046 1890]
[1047 1890]
[1048 1891]
[1053 1891]
[1055 1889]
[1055 1888]
[1056 1887]
[1056 1886]
[1057 1885]
[1057 1883]
[1058 1882]
[1058 1880]
[1057 1879]
[1058 1878]
[1057 1877]
[1057 1875]
[1056 1874]
[1056 1870]
[1055 1869]
[1053 1869]
[1052 1870]
[1051 1869]
[2330 1862]
[2328 1864]
[2327 1864]
[2327 1867]
[2328 1868]
[2329 1868]
[2330 1869]
[2333 1869]
[2335 1867]
[2335 1864]
[2333 1862]
[1285 1862]
[1279 1868]
[1278 1867]
[1277 1868]
[1275 1868]
[1274 1869]
[1273 1869]
[1270 1872]
[1270 1875]
[1271 1876]
[1272 1876]
[1273 1877]
[1277 1877]
[1279 1875]
[1279 1874]
[1280 1873]
[1281 1873]
[1281 1871]
[1282 1870]
[1288 1870]
[1289 1869]
[1290 1869]
[1291 1868]
[1291 1864]
[1289 1862]
[1062 1860]
[1062 1861]
[1061 1862]
[1060 1862]
[1058 1864]
[1058 1866]
[1059 1867]
[1059 1868]
[1060 1869]
[1061 1868]
[1065 1868]
[1066 1867]
[1066 1864]
[1065 1863]
[1065 1862]
[1064 1862]
[1378 1855]
[1377 1856]
[1373 1856]
[1373 1857]
[1371 1859]
[1371 1864]
[1372 1864]
[1373 1865]
[1379 1865]
[1381 1863]
[1382 1863]
[1382 1858]
[1381 1857]
[1381 1856]
[1380 1855]
[3387 1831]
[3386 1832]
[3384 1832]
[3382 1834]
[3381 1834]
[3379 1836]
[3379 1840]
[3381 1842]
[3383 1842]
[3384 1843]
[3387 1843]
[3388 1842]
[3391 1842]
[3392 1841]
[3393 1841]
