X,Y,#
5892,2310,BAD
5893,2310,BAD
5894,2310,BAD
5895,2310,BAD
5896,2310,BAD
5897,2310,BAD
5898,2310,BAD
5899,2310,BAD
5900,2310,BAD
5901,2310,BAD
5883,2311,BAD
5884,2311,BAD
5885,2311,BAD
5886,2311,BAD
5887,2311,BAD
5888,2311,BAD
5889,2311,BAD
5890,2311,BAD
5891,2311,BAD
5892,2311,BAD
5893,2311,BAD
5894,2311,BAD
5895,2311,BAD
5896,2311,BAD
5897,2311,BAD
5898,2311,BAD
5899,2311,BAD
5900,2311,BAD
5884,2312,BAD
5885,2312,BAD
5886,2312,BAD
5887,2312,BAD
5888,2312,BAD
5889,2312,BAD
5890,2312,BAD
5891,2312,BAD
5892,2312,BAD
5893,2312,BAD
5894,2312,BAD
5895,2312,BAD
5896,2312,BAD
5897,2312,BAD
5898,2312,BAD
5899,2312,BAD
5900,2312,BAD
5884,2313,BAD
5885,2313,BAD
5886,2313,BAD
5887,2313,BAD
5888,2313,BAD
5889,2313,BAD
5890,2313,BAD
5891,2313,BAD
5892,2313,BAD
5893,2313,BAD
5894,2313,BAD
5895,2313,BAD
5896,2313,BAD
5897,2313,BAD
5898,2313,BAD
5899,2313,BAD
5900,2313,BAD
5885,2314,BAD
5886,2314,BAD
5887,2314,BAD
5888,2314,BAD
5889,2314,BAD
5890,2314,BAD
5891,2314,BAD
5892,2314,BAD
5893,2314,BAD
5894,2314,BAD
5895,2314,BAD
5896,2314,BAD
5897,2314,BAD
5898,2314,BAD
5899,2314,BAD
5886,2315,BAD
5887,2315,BAD
5888,2315,BAD
5889,2315,BAD
5890,2315,BAD
5891,2315,BAD
5892,2315,BAD
5893,2315,BAD
5894,2315,BAD
5895,2315,BAD
5896,2315,BAD
5897,2315,BAD
5888,2316,BAD
5889,2316,BAD
5890,2316,BAD
5891,2316,BAD
5892,2316,BAD
5893,2316,BAD
5894,2316,BAD
5895,2316,BAD
5896,2316,BAD
4598,2266,BAD
4599,2266,BAD
4600,2266,BAD
4601,2266,BAD
4596,2267,BAD
4597,2267,BAD
4598,2267,BAD
4599,2267,BAD
4600,2267,BAD
4601,2267,BAD
4602,2267,BAD
4603,2267,BAD
4596,2268,BAD
4597,2268,BAD
4598,2268,BAD
4599,2268,BAD
4600,2268,BAD
4601,2268,BAD
4602,2268,BAD
4603,2268,BAD
4595,2269,BAD
4596,2269,BAD
4597,2269,BAD
4598,2269,BAD
4599,2269,BAD
4600,2269,BAD
4601,2269,BAD
4602,2269,BAD
4603,2269,BAD
4604,2269,BAD
4595,2270,BAD
4596,2270,BAD
4597,2270,BAD
4598,2270,BAD
4599,2270,BAD
4600,2270,BAD
4601,2270,BAD
4602,2270,BAD
4603,2270,BAD
4604,2270,BAD
4594,2271,BAD
4595,2271,BAD
4596,2271,BAD
4597,2271,BAD
4598,2271,BAD
4599,2271,BAD
4600,2271,BAD
4601,2271,BAD
4602,2271,BAD
4603,2271,BAD
4604,2271,BAD
4594,2272,BAD
4595,2272,BAD
4596,2272,BAD
4597,2272,BAD
4598,2272,BAD
4599,2272,BAD
4600,2272,BAD
4601,2272,BAD
4602,2272,BAD
4603,2272,BAD
4604,2272,BAD
4594,2273,BAD
4595,2273,BAD
4596,2273,BAD
4597,2273,BAD
4598,2273,BAD
4599,2273,BAD
4600,2273,BAD
4601,2273,BAD
4602,2273,BAD
4603,2273,BAD
4595,2274,BAD
4596,2274,BAD
4597,2274,BAD
4598,2274,BAD
4599,2274,BAD
4600,2274,BAD
4601,2274,BAD
4602,2274,BAD
4603,2274,BAD
4595,2275,BAD
4596,2275,BAD
4597,2275,BAD
4598,2275,BAD
4599,2275,BAD
4600,2275,BAD
4601,2275,BAD
4602,2275,BAD
4603,2275,BAD
4596,2276,BAD
4597,2276,BAD
4598,2276,BAD
4599,2276,BAD
4600,2276,BAD
4601,2276,BAD
4602,2276,BAD
4598,2277,BAD
4599,2277,BAD
4600,2277,BAD
4601,2277,BAD
4357,2121,BAD
4358,2121,BAD
4361,2121,BAD
4362,2121,BAD
4365,2121,BAD
4366,2121,BAD
4367,2121,BAD
4368,2121,BAD
4369,2121,BAD
4370,2121,BAD
4371,2121,BAD
4372,2121,BAD
4353,2122,BAD
4354,2122,BAD
4355,2122,BAD
4356,2122,BAD
4357,2122,BAD
4358,2122,BAD
4359,2122,BAD
4360,2122,BAD
4361,2122,BAD
4362,2122,BAD
4363,2122,BAD
4364,2122,BAD
4365,2122,BAD
4366,2122,BAD
4367,2122,BAD
4368,2122,BAD
4369,2122,BAD
4370,2122,BAD
4371,2122,BAD
4372,2122,BAD
4373,2122,BAD
4374,2122,BAD
4375,2122,BAD
4377,2122,BAD
4378,2122,BAD
4350,2123,BAD
4351,2123,BAD
4352,2123,BAD
4353,2123,BAD
4354,2123,BAD
4355,2123,BAD
4356,2123,BAD
4357,2123,BAD
4358,2123,BAD
4359,2123,BAD
4360,2123,BAD
4361,2123,BAD
4362,2123,BAD
4363,2123,BAD
4364,2123,BAD
4365,2123,BAD
4366,2123,BAD
4367,2123,BAD
4368,2123,BAD
4369,2123,BAD
4370,2123,BAD
4371,2123,BAD
4372,2123,BAD
4373,2123,BAD
4374,2123,BAD
4375,2123,BAD
4376,2123,BAD
4377,2123,BAD
4378,2123,BAD
