X,Y,#
2253,348,BAD
2254,347,BAD
2254,344,BAD
2252,342,BAD
1581,337,BAD
1580,338,BAD
1579,338,BAD
1579,342,BAD
1580,343,BAD
1580,344,BAD
1582,344,BAD
1584,342,BAD
1584,338,BAD
1583,338,BAD
1582,337,BAD
680,139,BAD
679,140,BAD
679,143,BAD
680,143,BAD
681,144,BAD
681,145,BAD
683,145,BAD
685,143,BAD
685,142,BAD
684,141,BAD
684,140,BAD
683,139,BAD
6549,131,BAD
6547,133,BAD
6546,133,BAD
6544,135,BAD
6544,136,BAD
6543,137,BAD
6543,147,BAD
6544,148,BAD
6544,150,BAD
6546,152,BAD
6546,153,BAD
6548,155,BAD
6549,155,BAD
6552,158,BAD
6553,158,BAD
6554,159,BAD
6555,159,BAD
6556,160,BAD
6561,160,BAD
6562,159,BAD
6564,159,BAD
6565,158,BAD
6566,158,BAD
6567,157,BAD
6567,156,BAD
6569,154,BAD
6569,152,BAD
6570,151,BAD
6570,145,BAD
6569,144,BAD
6569,142,BAD
6567,140,BAD
6566,140,BAD
6564,138,BAD
6563,138,BAD
6562,137,BAD
6561,137,BAD
6559,135,BAD
6558,135,BAD
6554,131,BAD
4073,9,BAD
4072,10,BAD
4071,10,BAD
4069,12,BAD
4069,15,BAD
4068,16,BAD
4069,17,BAD
4069,19,BAD
4070,20,BAD
4070,21,BAD
4071,22,BAD
4071,23,BAD
4072,23,BAD
4074,25,BAD
4076,25,BAD
4077,26,BAD
4078,26,BAD
4079,25,BAD
4080,25,BAD
4080,24,BAD
4081,23,BAD
4081,22,BAD
4082,21,BAD
4082,14,BAD
4079,11,BAD
4079,10,BAD
4076,10,BAD
4075,9,BAD
