X,Y,#
3656,2740,37
x,y
[1365 2736]
[1364 2737]
[1362 2737]
[1361 2738]
[1361 2739]
[1374 2739]
[1374 2737]
[1373 2736]
[1370 2736]
[1369 2737]
[1368 2737]
[1367 2736]
[1240 1565]
[1241 1566]
[1240 1567]
[1241 1568]
[1241 1569]
[1242 1570]
[1242 1572]
[1243 1573]
[1243 1574]
[1244 1575]
[1245 1575]
[1246 1576]
[1246 1578]
[1247 1579]
[1248 1579]
[1249 1580]
[1251 1580]
[1252 1581]
[1254 1581]
[1255 1580]
[1258 1580]
[1261 1577]
[1261 1576]
[1262 1575]
[1264 1575]
[1265 1574]
[1266 1574]
[1267 1573]
[1270 1573]
[1272 1571]
[1274 1571]
[1275 1570]
[1276 1570]
[1277 1569]
[1278 1569]
[1280 1571]
[1281 1571]
[1282 1570]
[1283 1570]
[1284 1571]
[1286 1571]
[1287 1570]
[1288 1571]
[1289 1570]
[1298 1570]
[1299 1571]
[1300 1570]
[1302 1570]
[1303 1571]
[1304 1570]
[1306 1570]
[1307 1571]
[1308 1571]
[1309 1570]
[1310 1571]
[1315 1571]
[1316 1572]
[1319 1572]
[1320 1573]
[1321 1572]
[1322 1572]
[1323 1573]
[1323 1575]
[1324 1574]
[1326 1576]
[1327 1576]
[1328 1577]
[1330 1577]
[1331 1578]
[1332 1578]
[1338 1584]
[1340 1584]
[1341 1585]
[1342 1584]
[1344 1584]
[1345 1585]
[1349 1585]
[1350 1586]
[1351 1586]
[1352 1585]
[1361 1585]
[1362 1584]
[1372 1584]
[1373 1585]
[1374 1584]
[1380 1584]
[1381 1583]
[1384 1583]
[1385 1582]
[1387 1582]
[1388 1581]
[1389 1581]
[1390 1580]
[1395 1580]
[1399 1576]
[1399 1575]
[1400 1574]
[1401 1574]
[1403 1572]
[1404 1572]
[1405 1571]
[1406 1571]
[1412 1565]
[1413 1565]
[1416 1562]
[1417 1562]
[1418 1561]
[1418 1560]
[1419 1559]
[1420 1559]
[1421 1558]
[1421 1557]
[1422 1556]
[1423 1556]
[1423 1555]
[1425 1553]
[1427 1553]
[1428 1554]
[1429 1554]
[1431 1552]
[1434 1552]
[1435 1551]
[1437 1551]
[1438 1550]
[1438 1546]
[1437 1545]
[1437 1543]
[1436 1542]
[1436 1539]
[1437 1538]
[1434 1535]
[1435 1534]
[1435 1530]
[1434 1529]
[1434 1528]
[1433 1527]
[1433 1524]
[1432 1523]
[1430 1523]
[1429 1522]
[1429 1520]
[1427 1518]
[1427 1517]
[1426 1516]
[1426 1515]
[1424 1515]
[1423 1514]
[1423 1513]
[1422 1512]
[1422 1511]
[1421 1511]
[1418 1508]
[1418 1507]
[1416 1505]
[1415 1505]
[1414 1504]
[1413 1504]
[1412 1503]
[1411 1503]
[1410 1502]
[1409 1502]
[1407 1500]
[1407 1499]
[1406 1498]
[1405 1498]
[1404 1497]
[1403 1497]
[1402 1496]
[1402 1495]
[1400 1495]
[1398 1493]
[1398 1492]
[1394 1492]
[1391 1489]
[1390 1489]
[1389 1488]
[1389 1487]
[1388 1486]
[1387 1486]
[1385 1484]
[1385 1483]
[1383 1481]
[1383 1480]
[1381 1478]
[1380 1478]
[1378 1476]
[1378 1475]
[1376 1475]
[1375 1474]
[1375 1472]
[1376 1471]
[1375 1471]
[1373 1469]
[1373 1468]
[1369 1464]
[1369 1462]
[1367 1460]
[1367 1459]
[1365 1459]
[1364 1458]
[1364 1456]
[1362 1456]
[1361 1455]
[1360 1455]
[1359 1454]
[1358 1454]
[1356 1452]
[1355 1452]
[1353 1450]
[1352 1450]
[1351 1449]
[1351 1448]
[1350 1448]
[1349 1447]
[1349 1446]
[1348 1445]
[1348 1444]
[1346 1444]
[1343 1441]
[1342 1442]
[1341 1442]
[1337 1438]
[1337 1432]
[1338 1431]
[1338 1428]
[1337 1427]
[1337 1426]
[1338 1425]
[1338 1424]
[1337 1423]
[1337 1420]
[1336 1419]
[1337 1418]
[1335 1416]
[1335 1415]
[1336 1414]
[1337 1414]
[1337 1413]
[1335 1411]
[1335 1404]
[1334 1405]
[1332 1403]
[1332 1402]
[1333 1401]
[1333 1397]
[1332 1397]
[1330 1395]
[1330 1393]
[1328 1391]
[1328 1389]
[1325 1386]
[1325 1383]
[1323 1383]
[1320 1380]
[1320 1379]
[1319 1378]
[1319 1376]
[1316 1376]
[1312 1372]
[1310 1372]
[1309 1371]
[1308 1371]
[1304 1367]
[1301 1367]
[1298 1364]
[1295 1364]
[1293 1362]
[1292 1362]
[1290 1360]
[1287 1360]
[1285 1358]
[1284 1358]
[1282 1356]
[1276 1356]
[1275 1355]
[1274 1355]
[1273 1354]
[1272 1355]
[1271 1354]
[1270 1354]
[1269 1353]
[1267 1353]
[1265 1351]
[1263 1351]
[1262 1352]
[1260 1352]
[1259 1351]
[1258 1351]
[1257 1350]
[1253 1350]
[1252 1349]
[1245 1349]
[ 449 1313]
[ 448 1314]
[ 447 1314]
[ 446 1315]
[ 443 1315]
[ 441 1317]
[ 440 1317]
[ 439 1318]
[ 438 1318]
[ 435 1321]
[ 434 1321]
[ 433 1322]
[ 432 1322]
[ 431 1323]
[ 430 1323]
[ 429 1324]
[ 428 1324]
[ 427 1323]
[ 426 1323]
[ 426 1326]
[ 427 1327]
[ 428 1327]
[ 429 1328]
[ 428 1329]
[ 426 1329]
[ 425 1330]
[ 425 1331]
[ 424 1332]
[ 424 1334]
[ 423 1335]
[ 422 1335]
[ 421 1336]
[ 421 1337]
[ 418 1340]
[ 416 1340]
[ 415 1341]
[ 415 1342]
[ 413 1344]
[ 412 1344]
[ 412 1345]
[ 411 1346]
[ 411 1348]
[ 410 1349]
[ 410 1352]
[ 411 1353]
[ 411 1354]
[ 414 1357]
[ 416 1357]
[ 418 1359]
[ 419 1359]
[ 421 1361]
[ 421 1362]
[ 422 1362]
[ 424 1364]
[ 425 1364]
[ 426 1365]
[ 428 1365]
[ 430 1367]
[ 432 1367]
[ 433 1368]
[ 434 1368]
[ 435 1369]
[ 438 1369]
[ 439 1370]
[ 440 1369]
[ 443 1369]
[ 444 1370]
[ 447 1370]
[ 448 1369]
[ 450 1369]
[ 451 1368]
[ 456 1368]
[ 458 1366]
[ 459 1367]
[ 460 1367]
[ 462 1365]
[ 463 1365]
[ 464 1364]
[ 465 1364]
[ 467 1362]
[ 469 1362]
[ 469 1361]
[ 470 1360]
[ 471 1360]
[ 472 1359]
[ 471 1358]
[ 473 1356]
[ 474 1356]
[ 476 1354]
[ 477 1354]
[ 478 1353]
[ 479 1353]
[ 480 1354]
[ 480 1352]
[ 482 1350]
[ 482 1348]
[ 483 1347]
[ 483 1345]
[ 484 1344]
[ 484 1332]
[ 483 1331]
[ 483 1328]
[ 482 1328]
[ 481 1327]
[ 481 1326]
[ 480 1325]
[ 480 1324]
[ 478 1322]
[ 478 1321]
[ 477 1320]
[ 475 1320]
[ 473 1318]
[ 470 1318]
[ 468 1316]
[ 467 1316]
[ 466 1315]
[ 464 1315]
[ 463 1314]
[ 462 1315]
[ 461 1315]
[ 460 1314]
[ 455 1314]
[ 454 1313]
[2153 1284]
[2151 1286]
[2150 1285]
[2149 1285]
[2148 1286]
[2148 1287]
[2147 1288]
[2150 1291]
[2150 1292]
[2151 1293]
[2156 1293]
[2156 1291]
[2157 1290]
[2158 1290]
[2157 1289]
[2157 1288]
[2156 1287]
[2155 1288]
[2154 1288]
[2153 1287]
[2154 1286]
[2154 1284]
[  52 1278]
[  51 1279]
[  50 1279]
[  49 1280]
[  49 1281]
[  48 1282]
[  48 1285]
[  50 1287]
[  50 1288]
[  51 1288]
[  52 1289]
[  55 1289]
[  58 1286]
[  58 1282]
[  57 1281]
[  57 1279]
[  55 1279]
[  54 1278]
